date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:34	5494/5494	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Mar%202024%2017:28:48%20GMT	https://wordleplay.com/images/games/strands.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/strands30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:34	1626/1626	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202023%2012:20:46%20GMT	https://wordleplay.com/images/games/connections.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/connections30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:34	1694/1694	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Sep%202022%2021:11:36%20GMT	https://wordleplay.com/images/games/spelling-bee.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/spelling-bee30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:34	1476/1476	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202024%2023:35:48%20GMT	https://wordleplay.com/images/games/blockblast.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/blockblast30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:35	3231/3231	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Dec%202024%2023:35:48%20GMT	https://wordleplay.com/images/games/sprunki.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/sprunki30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:35	7564/7564	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202024%2017:10:50%20GMT	https://wordleplay.com/images/games/infinite-craft.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/infinite-craft30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:35	11983/11983	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202024%2016:54:26%20GMT	https://wordleplay.com/images/games/watermelon.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/watermelon30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:35	1639/1639	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202022%2014:45:47%20GMT	https://wordleplay.com/images/games/quordle.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/quordle30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:35	1474/1474	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Sep%202022%2021:14:49%20GMT	https://wordleplay.com/images/games/waffle.png?v=3	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/waffle30f4.png	(from https://wordleplay.com/infinite-craft)
16:51:36	658/658	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Sep%202022%2021:35:33%20GMT	https://wordleplay.com/images/games/crosswordle.png?v=4	C:/My%20Web%20Sites/Infinite%20Craft%202/wordleplay.com/images/games/crosswordle7b30.png	(from https://wordleplay.com/infinite-craft)
